tienda,busqueda,popularidad,dificultad,apps,medido,cubierta_antes,cubierta_ahora,locales_que_la_cubren_ahora
au,offline,61,71,248,2026-09-12 09:12:59,sí,no,
au,text to speech,50,23,249,2026-09-12 09:12:51,sí,sí,en-AU en-GB
au,pdf reader,50,37,249,2026-09-12 09:12:53,sí,sí,en-AU en-GB
au,epub reader,44,42,250,2026-09-12 09:12:55,sí,sí,en-AU en-GB
au,ebook reader,43,43,250,2026-09-12 09:12:58,no,sí,en-AU
au,audiobook,38,63,250,2026-09-12 09:12:54,sí,sí,en-AU en-GB
au,voice reader,16,19,250,2026-09-12 09:12:52,sí,sí,en-AU en-GB
au,read to me,16,44,248,2026-09-12 09:12:55,no,no,
au,dyslexia,9,11,247,2026-09-12 09:12:56,sí,sí,en-AU en-GB
au,text reader,9,21,247,2026-09-12 09:12:53,sí,sí,en-AU en-GB
au,read out loud,9,21,249,2026-09-12 09:12:56,no,sí,en-AU
au,read aloud,9,36,249,2026-09-12 09:12:52,sí,sí,en-GB
au,text to voice,8,19,248,2026-09-12 09:12:57,sí,sí,en-AU en-GB
au,reader,8,47,250,2026-09-12 09:12:59,sí,sí,en-AU en-GB
au,narrator,5,13,249,2026-09-12 09:12:58,no,sí,en-AU en-GB
au,pdf to audio,5,15,249,2026-09-12 09:12:54,no,sí,en-AU
au,speak text,5,17,249,2026-09-12 09:12:57,no,no,
au,tts,5,21,249,2026-09-12 09:12:52,sí,sí,en-AU en-GB
bg,text to speech,30,7,216,2026-09-12 09:17:22,sí,sí,en-GB
bg,четене на глас,5,5,0,2026-09-12 09:17:20,no,no,
bg,pdf четец,5,5,0,2026-09-12 09:17:22,no,no,
bg,дислексия,5,5,1,2026-09-12 09:17:22,no,no,
bg,текст в реч,5,7,18,2026-09-12 09:17:20,no,no,
bg,аудиокнига,5,7,83,2026-09-12 09:17:21,no,no,
bg,tts,5,7,215,2026-09-12 09:17:21,sí,sí,en-GB
bg,read aloud,5,9,224,2026-09-12 09:17:23,sí,sí,en-GB
bg,epub,5,17,236,2026-09-12 09:17:23,sí,sí,en-GB
bg,глас,5,19,55,2026-09-12 09:17:23,no,no,
bg,четец,5,23,226,2026-09-12 09:17:22,no,no,
bg,audiobook,5,42,236,2026-09-12 09:17:24,sí,sí,en-GB
br,pdf,72,70,240,2026-09-12 09:19:39,sí,sí,pt-BR en-GB
br,offline,69,64,244,2026-09-12 09:14:26,sí,no,
br,livros,66,68,246,2026-09-12 09:19:39,no,sí,pt-BR
br,leitura,55,65,250,2026-09-12 09:14:25,sí,no,
br,audiobook,54,63,248,2026-09-12 09:14:21,sí,sí,pt-BR en-GB
br,epub,51,45,250,2026-09-12 09:19:39,sí,sí,pt-BR en-GB
br,ler,47,66,250,2026-09-12 09:14:24,sí,sí,pt-BR
br,voz,46,53,250,2026-09-12 09:14:23,sí,sí,pt-BR
br,leitor de livros,43,50,248,2026-09-12 09:19:37,no,sí,pt-BR
br,ler livros,43,57,248,2026-09-12 09:19:41,no,sí,pt-BR
br,ler texto,41,23,250,2026-09-12 09:19:36,sí,sí,pt-BR
br,leitor,40,58,247,2026-09-12 09:14:24,sí,sí,pt-BR
br,artigos,14,15,245,2026-09-12 09:14:27,sí,sí,pt-BR
br,narrador,10,37,146,2026-09-12 09:14:21,no,sí,pt-BR
br,dislexia,9,19,248,2026-09-12 09:14:22,sí,sí,pt-BR
br,tts,8,17,249,2026-09-12 09:14:21,sí,sí,pt-BR en-GB
br,text to speech,7,23,248,2026-09-12 09:14:26,sí,sí,pt-BR en-GB
br,acessibilidade,5,9,222,2026-09-12 09:14:22,sí,no,
br,leitura em voz alta,5,19,56,2026-09-12 09:14:24,sí,no,
br,conversor de texto em voz,5,19,67,2026-09-12 09:14:26,no,no,
br,texto falado,5,21,250,2026-09-12 09:19:36,no,no,
br,leitor de voz,5,23,244,2026-09-12 09:14:19,sí,sí,pt-BR
br,voz para texto,5,23,250,2026-09-12 09:19:36,no,no,
br,narrador de texto,5,23,110,2026-09-12 09:19:37,no,sí,pt-BR
br,leitor de voz alta,5,23,74,2026-09-12 09:19:38,sí,sí,pt-BR
br,voz natural,5,34,77,2026-09-12 09:19:40,no,no,
