locale,nombre_antes,subtitulo_antes,keywords_antes,nombre_ahora,subtitulo_ahora,keywords_ahora
en-US,Yappy: Text to Speech Reader,"Articles, PDFs & books, spoken","tts,read aloud,voice,reader,audiobook,pdf,epub,article,youtube,offline,private,dyslexia,accessible",Yappy: Text to Speech Reader,Voice Reader for PDF & EPUB,"tts,read,aloud,document,accessibility,dyslexia,audio,audiobook,listen,book,screen,article,me"
en-GB,Yappy: Text to Speech Reader,"Articles, PDFs & books, spoken","tts,read aloud,voice,reader,audiobook,pdf,epub,article,youtube,offline,private,dyslexia,accessible",Yappy: Text to Speech Reader,"Read Aloud PDF, EPUB & Docs","tts,voice,narrator,natural,document,dyslexia,accessibility,audiobook,study,listen,book,news,story"
en-AU,Yappy: Text to Speech Reader,"Articles, PDFs & books, spoken","tts,read aloud,voice,reader,audiobook,pdf,epub,article,youtube,offline,private,dyslexia,accessible",Yappy: Text to Speech Reader,Text to Audio: Read Out Loud,"tts,voice,pdf,epub,document,dyslexia,accessibility,audiobook,listen,book,screen,ebook,narrator"
en-CA,Yappy: Text to Speech Reader,"Articles, PDFs & books, spoken","tts,read aloud,voice,reader,audiobook,pdf,epub,article,youtube,offline,private,dyslexia,accessible",Yappy: Text to Speech Reader,"Read Out Loud: PDF, EPUB, Docs","tts,voice,audio,document,dyslexia,accessibility,audiobook,listen,book,narrator,ebook,article,aloud"
es-ES,Yappy: lee en voz alta,"Texto a voz local, sin nube","tts,texto a voz,leer,lector,voz,audiolibro,pdf,epub,artículos,youtube,dislexia,accesibilidad,offline",Yappy: lector de textos,Texto a voz para PDF y EPUB,"tts,leer,narrador,audiolibro,libro,documento,artículo,dislexia,escuchar,noticia,estudiar,apunte"
es-MX,Yappy: lee en voz alta,"Texto a voz local, sin nube","tts,texto a voz,leer,lector,voz,audiolibro,pdf,epub,artículos,youtube,dislexia,accesibilidad,offline",Yappy: lector de textos,Texto a voz para PDF y EPUB,"tts,leer,narrador,audiolibro,libro,documento,artículo,dislexia,escuchar,noticia,estudiar,apunte"
de-DE,Yappy: Text vorlesen lassen,"Lokal & privat, ohne Cloud","tts,sprachausgabe,vorleser,reader,hörbuch,pdf,epub,artikel,youtube,offline,legasthenie,barrierefrei",Yappy: Text vorlesen App,Text to Speech für PDF & EPUB,"tts,vorlese,sprache,sprachausgabe,vorleser,stimme,hörbuch,artikel,legasthenie,buch,ebook,lesen"
fr-FR,Yappy : lecture à voix haute,"Synthèse vocale locale, privée","tts,lire,lecteur,texte,livre audio,pdf,epub,article,youtube,hors ligne,dyslexie,accessibilité",Yappy : lecteur de texte,"Text to Speech, PDF et EPUB","tts,synthèse,vocale,voix,lecture,livre,audio,lire,haute,dyslexie,article,document,narrateur,écouter"
fr-CA,Yappy : lecture à voix haute,"Synthèse vocale locale, privée","tts,lire,lecteur,texte,livre audio,pdf,epub,article,youtube,hors ligne,dyslexie,accessibilité",Yappy : lecteur de texte,"Text to Speech, PDF et EPUB","tts,synthèse,vocale,voix,lecture,livre,audio,lire,haute,dyslexie,article,document,narrateur,écouter"
it,Yappy: legge ad alta voce,"Sintesi vocale locale, privata","tts,leggi,lettore,testo,audiolibro,pdf,epub,articoli,youtube,offline,dislessia,accessibilità,lettura","Yappy: Text to Speech, lettore","Legge testi, PDF ed EPUB","tts,voce,sintesi,vocale,lettura,audiolibro,libro,dislessia,articolo,documento,ascoltare,studiare"
pt-PT,Yappy: lê em voz alta,"Texto em voz local, sem nuvem","tts,ler,leitor,audiolivro,pdf,epub,artigos,youtube,offline,dislexia,acessibilidade,privado,leitura",Yappy: leitor Text to Speech,"Ouve texto, PDF, EPUB e livros","tts,audiobook,voz,leitura,ler,alta,narrador,artigo,documento,dislexia,audiolivro,estudar,offline"
pt-BR,Yappy: lê em voz alta,"Texto em voz local, sem nuvem","tts,ler,leitor,audiolivro,audiobook,pdf,epub,artigos,youtube,offline,dislexia,acessibilidade,leitura",Yappy: ler texto em voz alta,"Leitor de livros, PDF e EPUB","tts,narrador,artigo,dislexia,audiobook,audiolivro,text,speech,documento,notícia,estudo,ouvir"
nl-NL,Yappy: leest hardop voor,"Lokaal en privé, zonder cloud","tts,tekst naar spraak,voorlezen,lezer,stem,luisterboek,pdf,epub,artikelen,youtube,offline,dyslexie",Yappy: Text to Speech (TTS),"Voorlezen van tekst, PDF, EPUB","voorleesapp,spraak,stem,luisterboek,artikel,dyslexie,document,boek,lezen,lezer,naar"
pl,Yappy: czyta na głos,"Lokalny syntezator, bez chmury","tts,czytanie tekstu,czytnik,lektor,audiobook,pdf,epub,artykuły,youtube,offline,dysleksja,dostępność",Yappy: Text to Speech i lektor,TTS: czyta na głos PDF i EPUB,"czytnik,tekstu,syntezator,mowy,audiobook,ebook,książka,artykuł,dysleksja,dokument,czytanie"
ro,Yappy: citește cu voce tare,"Local și privat, fără cloud","tts,text în vorbire,cititor,audiobook,pdf,epub,articole,youtube,offline,dislexie,accesibilitate","Yappy: Text to Speech, cititor","Citește cu voce tare PDF, EPUB","tts,audiobook,carte,audio,articol,document,dislexie,vorbire,sinteza,vocala,lectura,offline"
